序号,提交答卷时间,所用时间,来源,来自IP,1、您的年龄：,2、性别：,3、月收入:,4、职业：,5、学历：,6、居住地：,7、您的籍贯是否为湖南地区：,8、您是否线下观看过浏阳烟花,9、您认为传承浏阳烟花重要性：,10、您对浏阳烟花是否感兴趣：,11、您对于浏阳烟花是否了解：,12、您更喜欢哪一类浏阳烟花产品,13、您更喜欢哪种浏阳烟花演出形式,14、您对浏阳烟花的满意程度—造型,14、色彩,14、节奏,14、配乐,14、创意,14、主题,14、观赏环境,14、燃放效果,14、欣赏难度,14、宣传工作,14、价格,14、安全隐患,14、环保指标,15、您主要是通过哪些途径接触和了解到浏阳烟花的？(线下节庆现场观赏),15、(电视烟花晚会/直播),15、(短视频),15、(亲友同事分享),15、(线下/电商购买烟花),15、(新闻媒体报道),15、(文旅宣传/景区推荐),15、(其他（请注明）),15、(从未了解过),16、您认为浏阳烟花与哪些形式结合更利于它的传承与发展(文旅融合（烟花观赏＋景区游览）),16、(节庆赛事（烟花晚会＋特色节庆）),16、(数字传播（短视频＋直播实景）),16、(非遗科普（研学体验+文化讲解）),16、(文创开发（烟花周边＋文创产品）),16、(科技赋能（智能烟花+特效研发）),16、(跨界合作（影视综艺+品牌联名）),16、(其他（自填）),17、请选择符合您实际情况的选项—欣赏浏阳烟花非遗展演是文化素养的体现,17、观看浏阳烟花创意秀会给您带来愉悦体验,17、了解浏阳烟花会让您收获传统文化认知,17、参与浏阳烟花活动能助力其非遗传承与产业发展,18、请选择符合您实际情况的选项—家中长辈参与浏阳烟花非遗活动，会带动您参与,18、亲朋好友推荐浏阳烟花活动，会促使您一同参与,18、媒体对浏阳烟花的宣传，会吸引您关注相关活动,18、明星/博主推广浏阳烟花，会提升您的参与兴趣,19、请选择符合您实际情的选项—您有时间参与浏阳烟花非遗相关活动,19、您能承担浏阳烟花展演门票、文创产品的费用,19、您具备欣赏浏阳烟花非遗艺术特色的审美能力,20、请根据您的实际情况，选择最符合您态度的选项：—您愿意了解浏阳烟花的相关知识,20、您愿意参与免费的浏阳烟花相关活动,20、您愿意参与付费的浏阳烟花相关活动,20、您愿意对浏阳烟花进行宣传,21、在过去一年中，您参与以下浏阳烟花相关活动的频率为—现场观看浏阳烟花节、主题烟花秀或大型烟花无人机表演,21、通过短视频、直播平台观看浏阳烟花相关内容,21、关注与浏阳烟花相关的官方账号、媒体报道或纪录片,21、参观浏阳烟花博物馆、非遗工坊或生产展示基地,21、参与浏阳烟花主题的文旅活动、研学项目或文化节,21、购买或收藏浏阳烟花主题文创产品或纪念品,22、您可以接受一年内在浏阳烟花相关文化活动或产品上的支出为：,23、本题请选D,所用时间_数值
222,2026/2/24 20:34:34,190秒,微信,183.141.44.157(浙江-嘉兴),2,1,2,2,4,2,1,1,3,3,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,4,5,4,5,4,3,4,4,4,4,4,3,3,3,3,5,5,5,5,3,5,1,4,190
223,2026/2/24 20:34:51,141秒,微信,222.184.219.113(江苏-南通),4,2,3,2,3,9,1,1,3,3,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2,1,2,3,3,4,3,2,3,2,3,1,5,1,3,3,4,3,3,2,2,4,141
224,2026/2/24 20:35:19,138秒,微信,117.90.145.226(江苏-镇江),2,1,2,2,2,1,1,1,4,4,3.0,4.0,1.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4,4,4,4,4,1,2,4,4,3,5,1,1,1,1,4,2,3,4,4,4,4,4,138
225,2026/2/24 20:35:54,164秒,微信,113.242.239.133(湖南-益阳),2,2,3,2,4,2,1,2,2,2,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,2,1,1,1,1,1,2,2,2,3,3,3,3,1,2,1,1,1,2,2,4,164
226,2026/2/24 20:36:13,167秒,微信,59.42.100.21(广东-广州),3,1,2,2,3,4,1,1,3,3,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,2,3,4,2,4,2,5,4,4,3,3,3,4,3,5,3,3,3,3,5,4,167
227,2026/2/24 20:36:28,195秒,微信,27.158.35.205(福建-漳州),3,2,2,2,4,9,1,2,3,3,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,3,1,4,4,4,4,3,3,2,4,4,4,4,2,2,1,2,2,2,1,4,195
228,2026/2/24 20:36:49,131秒,微信,182.136.24.160(四川-绵阳),3,1,2,2,3,6,1,2,3,3,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,3,2,3,3,3,3,3,3,4,4,3,2,1,1,3,2,2,2,2,5,3,1,4,131
229,2026/2/24 20:36:55,150秒,微信,36.6.141.198(安徽-淮北),3,2,3,1,3,2,1,1,2,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2,1,2,2,5,4,4,5,2,4,2,2,4,2,4,4,4,4,4,4,5,2,4,150
230,2026/2/24 20:37:05,231秒,微信,182.136.227.214(四川-绵阳),3,1,2,4,2,2,1,1,3,2,3.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,5,5,4,5,5,5,4,5,3,2,3,5,5,5,4,2,3,2,2,2,3,4,4,231
232,2026/2/24 20:40:40,167秒,微信,222.93.166.154(江苏-苏州),2,1,3,2,4,4,2,2,5,2,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,3,3,3,5,5,5,4,4,4,4,5,4,5,5,5,5,5,5,4,4,4,4,167
233,2026/2/24 20:40:47,140秒,微信,118.213.178.59(青海-黄南),3,1,3,2,4,7,1,1,4,5,3.0,4.0,1.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,3,4,3,2,1,1,1,1,2,1,2,3,3,3,4,3,3,3,3,3,3,2,4,140
234,2026/2/24 20:40:58,198秒,微信,121.234.35.7(江苏-盐城),3,1,4,2,2,4,1,2,3,3,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3,3,2,2,2,3,3,1,1,1,2,2,2,2,3,3,3,1,3,3,2,4,198
235,2026/2/24 20:41:14,224秒,微信,117.84.67.28(江苏-无锡),2,1,2,3,1,9,2,1,3,4,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,3,3,3,3,3,4,3,2,4,4,4,2,2,2,2,5,5,5,4,4,5,4,4,224
236,2026/2/24 20:41:24,195秒,微信,123.180.173.46(河北-承德),2,2,2,2,4,3,1,1,5,4,4.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,3,2,3,3,5,4,5,5,2,2,1,2,2,1,1,5,5,5,5,5,5,4,4,195
239,2026/2/24 20:42:38,190秒,微信,121.239.246.94(江苏-苏州),2,2,3,2,3,6,1,2,4,4,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,3,3,3,4,4,4,4,4,2,2,2,4,3,4,4,2,3,2,2,2,2,2,4,190
240,2026/2/24 20:45:39,135秒,微信,42.202.40.19(辽宁-鞍山),3,1,2,2,5,2,1,1,4,4,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,4,3,2,3,5,5,5,5,3,2,3,3,3,4,3,4,4,4,3,4,4,2,4,135
241,2026/2/24 20:45:48,177秒,微信,221.235.194.6(湖北-襄阳),3,2,4,1,1,4,1,1,2,2,2.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,4,4,3,4,3,3,3,3,4,4,3,4,3,4,2,4,4,2,3,4,4,2,4,177
243,2026/2/24 20:46:17,126秒,微信,49.69.121.179(江苏-盐城),2,2,2,2,4,2,1,1,5,4,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,5,5,5,4,5,4,5,4,3,4,3,2,2,3,2,3,3,3,3,4,3,2,4,126
244,2026/2/24 20:46:32,225秒,微信,222.93.166.189(江苏-苏州),3,2,3,2,4,2,2,2,3,3,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,2,2,2,2,2,2,2,2,2,4,2,3,2,3,2,2,3,3,4,225
245,2026/2/24 20:46:41,195秒,微信,113.121.188.144(云南-德宏),3,2,2,2,2,2,1,2,3,3,3.0,3.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,3,3,3,3,5,4,5,5,4,4,3,3,4,4,3,5,5,5,5,4,5,4,4,195
247,2026/2/24 20:47:26,207秒,微信,112.250.129.142(山东-日照),3,2,2,2,2,4,1,1,3,3,3.0,3.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,5,5,5,5,1,1,1,1,4,4,4,3,3,3,1,5,5,5,5,4,5,3,4,207
248,2026/2/24 20:47:51,186秒,微信,106.111.203.53(江苏-淮安),2,1,1,2,3,1,1,1,3,5,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,2,3,2,2,3,4,3,3,2,2,2,1,2,2,1,2,2,4,2,2,2,1,4,186
249,2026/2/24 20:48:03,152秒,微信,49.71.143.80(江苏-泰州),2,2,4,2,4,9,1,1,2,2,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,4,3,4,5,4,5,4,4,4,4,4,4,3,5,5,4,5,4,4,5,4,1,4,152
250,2026/2/24 20:48:27,133秒,微信,106.119.249.105(河北-唐山),3,2,3,2,5,9,1,1,4,4,4.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,5,5,4,5,4,4,4,4,3,5,3,4,4,4,4,3,3,3,3,3,3,2,4,133
251,2026/2/24 20:48:58,223秒,微信,218.71.14.48(浙江-温州),2,1,2,3,4,7,2,1,3,3,4.0,3.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,5,5,5,4,4,4,4,4,4,4,3,4,4,4,3,4,3,5,4,4,4,1,4,223
252,2026/2/24 20:49:16,169秒,微信,113.14.132.139(广西-桂林),3,1,2,2,3,8,1,1,2,5,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,5,5,5,5,4,3,1,3,2,2,2,2,2,2,2,5,5,5,2,5,4,1,4,169
253,2026/2/24 20:49:30,177秒,微信,114.103.72.95(安徽-池州),2,1,4,2,4,2,1,1,2,2,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,4,4,4,3,3,3,3,3,4,4,3,2,5,2,2,3,4,4,3,3,1,4,4,177
254,2026/2/24 20:49:48,187秒,微信,110.81.248.113(福建-泉州),2,2,2,4,5,1,1,1,2,2,4.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,3,4,3,3,3,3,3,3,2,2,2,2,1,2,3,1,1,1,1,1,3,1,4,187
255,2026/2/24 20:50:12,221秒,微信,111.72.199.192(江西-鹰潭),1,2,4,2,2,9,1,2,3,3,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,5,5,5,3,5,3,4,5,5,4,4,4,4,5,5,5,5,5,5,5,1,4,221
256,2026/2/24 20:50:28,132秒,微信,125.125.128.140(浙江-湖州),2,1,3,4,4,3,1,2,5,4,5.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,2.0,5.0,5.0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,5,1,5,5,5,5,1,4,132
257,2026/2/24 20:51:01,143秒,微信,60.184.51.226(浙江-湖州),3,1,3,2,1,8,1,1,4,5,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,4,4,4,4,5,5,4,5,4,3,5,5,4,4,5,2,2,2,2,1,1,5,4,143
258,2026/2/24 20:51:12,165秒,微信,123.180.162.34(河北-承德),3,1,3,3,2,9,2,2,4,4,5.0,4.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,4,4,4,3,5,5,5,5,5,5,5,4,1,4,5,4,5,4,5,4,4,2,4,165
259,2026/2/24 20:51:35,193秒,微信,175.155.189.12(四川-泸州),2,2,1,2,4,2,1,2,3,3,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,3,3,2,5,3,5,4,3,4,3,2,2,2,2,2,2,2,1,1,1,3,4,193
260,2026/2/24 20:52:07,222秒,微信,222.93.166.25(江苏-苏州),2,2,2,2,4,9,1,2,5,5,5.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,3,5,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,2,4,1,4,222
262,2026/2/24 20:52:45,169秒,微信,113.241.136.58(湖南-湘西),3,1,2,3,3,2,1,1,3,3,5.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,5,5,5,5,2,3,3,2,5,5,4,4,4,4,3,4,4,4,4,4,3,2,4,169
263,2026/2/24 20:52:58,215秒,微信,116.227.10.163(上海-上海),4,2,3,2,3,1,1,2,3,3,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,2,2,3,2,4,4,4,4,4,4,4,3,2,3,3,2,2,1,2,2,2,2,4,215
264,2026/2/24 20:53:05,193秒,微信,111.72.128.167(江西-宜春),3,1,3,2,4,9,1,1,4,4,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,4,4,4,3,4,4,5,3,4,4,4,3,3,3,3,5,4,5,4,5,2,5,4,193
265,2026/2/24 20:53:12,134秒,微信,27.151.44.247(福建-福州),2,2,3,1,2,2,1,2,4,4,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5,5,5,3,3,3,5,5,5,5,4,4,5,5,2,3,1,2,1,3,4,4,134
267,2026/2/24 20:54:05,218秒,微信,180.119.93.187(江苏-扬州),3,1,2,2,3,6,1,1,4,5,4.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,5,4,5,1,5,5,4,4,2,3,1,2,3,1,2,3,4,3,2,3,4,1,4,218
268,2026/2/24 20:54:32,122秒,微信,117.57.113.154(安徽-淮北),2,1,2,2,4,3,1,1,3,3,3.0,3.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,5,5,5,4,4,5,4,4,4,4,4,4,5,4,5,3,5,3,3,3,3,2,4,122
269,2026/2/24 20:54:45,148秒,微信,117.95.182.119(江苏-宿迁),2,2,2,2,2,2,1,1,4,4,4.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,3,3,2,3,3,1,3,3,4,5,4,1,2,1,1,1,1,2,1,1,1,2,4,148
270,2026/2/24 20:55:06,176秒,微信,112.192.188.181(四川-泸州),3,2,4,2,2,2,2,1,3,3,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,3,4,5,2,4,3,3,4,3,4,3,2,4,2,2,3,4,3,3,2,2,1,4,176
271,2026/2/24 20:55:36,191秒,微信,116.3.100.57(辽宁-大连),3,2,3,2,2,6,2,1,3,3,3.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,3,3,4,4,4,5,4,4,5,4,5,4,3,4,4,5,5,4,5,5,4,3,4,191
272,2026/2/24 20:55:43,185秒,微信,180.109.12.235(江苏-南京),2,2,4,2,2,9,2,1,4,4,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,2,2,3,2,2,3,3,3,3,5,3,3,3,3,4,3,3,2,1,4,185
273,2026/2/24 20:56:14,125秒,微信,118.255.198.106(湖南-郴州),2,2,4,2,4,1,1,2,5,5,5.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,4,3,5,4,5,5,4,5,5,5,4,5,5,3,5,5,5,5,5,5,5,4,4,125
276,2026/2/24 20:56:58,215秒,微信,220.161.218.198(福建-宁德),4,1,2,1,1,9,2,1,3,3,3.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,4,4,5,3,4,4,2,4,3,2,1,3,3,3,3,4,4,4,4,4,3,1,4,215
277,2026/2/24 20:57:22,193秒,微信,122.239.181.10(浙江-温州),2,2,2,2,4,9,2,2,3,3,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,3,2,4,1,4,4,2,3,4,3,3,3,3,3,3,3,4,2,3,1,4,193
278,2026/2/24 20:57:42,138秒,微信,180.112.150.250(江苏-无锡),4,1,2,2,1,6,2,1,4,3,4.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,3,3,3,5,3,3,2,4,138
279,2026/2/24 20:57:49,164秒,微信,121.227.150.40(江苏-苏州),2,1,4,2,4,9,1,1,5,4,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,5,5,2,5,5,5,5,5,4,4,5,4,5,3,4,3,3,3,1,3,4,3,4,164
280,2026/2/24 20:58:01,228秒,微信,106.119.250.73(河北-唐山),2,1,3,2,2,3,1,2,2,2,2.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,4,2,5,4,4,4,4,4,3,3,3,4,5,4,5,4,5,4,3,4,4,2,4,228
281,2026/2/24 20:58:18,145秒,微信,220.161.243.224(福建-宁德),3,2,2,3,3,6,1,2,3,3,3.0,3.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,2,1,3,4,5,4,3,3,5,3,5,5,4,5,4,4,4,4,4,4,3,4,145
283,2026/2/24 20:58:53,236秒,微信,123.182.211.146(河北-邯郸),1,1,1,2,4,9,1,1,4,5,4.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,3,5,3,3,4,4,4,4,5,5,4,5,5,4,3,5,5,5,5,5,4,3,4,236
285,2026/2/24 20:59:40,181秒,微信,119.109.92.254(辽宁-大连),3,1,2,2,4,9,1,2,5,5,4.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,3,3,3,3,4,4,4,3,5,5,4,4,4,4,4,3,3,3,3,3,3,5,4,181
286,2026/2/24 20:59:58,223秒,微信,220.190.61.231(浙江-温州),2,1,3,3,4,1,1,1,2,2,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,2,2,2,2,1,2,1,1,2,3,2,2,2,2,2,1,3,1,1,1,1,4,4,223
287,2026/2/24 21:00:07,168秒,微信,59.60.210.184(福建-三明),3,1,1,4,3,8,1,1,3,3,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,2,2,2,3,3,3,3,3,1,1,4,2,2,2,2,1,1,1,2,1,2,2,4,168
288,2026/2/24 21:00:32,171秒,微信,182.136.4.185(四川-绵阳),2,2,3,2,3,9,1,1,3,3,3.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,3,2,4,3,4,4,3,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,171
289,2026/2/24 21:00:53,190秒,微信,183.141.44.149(浙江-嘉兴),2,1,4,2,3,2,1,2,5,5,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,2,5,4,4,5,4,3,3,3,3,5,1,5,5,5,5,5,4,4,4,190
291,2026/2/24 21:01:40,204秒,微信,118.120.230.216(四川-德阳),3,1,2,2,3,9,1,2,5,5,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,5,5,5,5,2,2,2,2,5,5,5,3,2,3,3,3,1,3,3,3,3,1,4,204
292,2026/2/24 21:02:02,186秒,微信,49.71.143.127(江苏-泰州),2,1,3,2,2,5,1,1,5,5,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,3,1,1,2,4,4,4,4,5,5,4,4,4,4,2,4,4,5,4,4,4,3,4,186
293,2026/2/24 21:02:13,185秒,微信,42.203.68.171(辽宁-朝阳),2,2,2,2,4,8,2,1,4,4,4.0,4.0,1.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,4,5,3,4,2,1,2,1,2,2,2,3,2,5,3,3,5,3,4,3,4,4,4,185
294,2026/2/24 21:02:34,151秒,微信,221.10.156.130(四川-泸州),4,1,3,2,2,9,2,1,4,3,4.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,1,2,4,3,3,3,3,2,3,3,3,3,1,1,3,3,3,2,3,2,3,4,151
295,2026/2/24 21:03:15,183秒,微信,222.184.219.177(江苏-南通),3,1,2,2,3,3,1,1,3,3,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,4,4,4,3,3,4,2,4,4,3,4,3,3,1,3,3,3,3,3,3,3,2,4,183
